Sequence_ID,Flu_A_Univ-F,Flu_A_Univ_R,Flu_A_P
MF039638,found,NOT_FOUND,NOT_FOUND
KX867852,found,NOT_FOUND,found
KX570999,NOT_FOUND,found,found
KP638049,NOT_FOUND,found,found
